3,ahmed,9999,1500
4,umar,4321,1800
5,yasir,8765,2200
6,faizan,3456,900
7,irfan,6543,3000
8,adnan,1122,750
9,sajid,7788,2600
10,imran,3344,1400
11,tariq,5566,1700
12,sohail,8899,2100
13,majid,2233,1950
14,shahid,6677,2500
15,asif,9900,800
16,nadeem,1111,1200
17,parvez,2222,3100
18,rafiq,3333,2750
19,danish,4444,1600
20,iqbal,5555,1450
21,junaid,6666,1850
22,arif,7777,2300
23,basit,8888,2900
24,hamid,9990,1100
25,khalid,1212,2050
26,salman,3434,2600
27,waqar,5656,1750
28,zubair,7878,2400
29,shoaib,9090,1300
30,azhar,1010,2800
31,fahad,2020,2200
32,raheel,3030,1950
33,kamran,4040,1700
34,atif,5050,2600
35,nasir,6060,2100
36,sameer,7070,900
37,haris,8080,3000
38,farhan,9091,2750
39,adil,1123,1600
40,shakir,2234,1450
41,zaid,3345,1850
42,arslan,4456,2300
43,shayan,5567,2900
44,hamza,6678,1100
45,saad,7789,2050
46,umer,8890,2600
47,rehman,9901,1750
48,bilal,1011,2400
49,danial,2021,1300
50,zeeshan,3031,2800
1,rasim,1234,700.0
2,ali,5678,3300.0
